address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code","County Subdivision Name","County Subdivision FIPS","County Subdivision Class Code","County Subdivision Class Description"
"2103 S CONGRESS AVE Austin TX 78704",30.243231,-97.751931,1,rooftop,"2103 S Congress Ave",,"Austin, TX 78704",2103,"S Congress Ave",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001401,1023,1,484530014011023,48453001401,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"709 W 22ND ST STE 200 Austin TX 78705",30.284991,-97.745972,1,rooftop,"709 W 22nd St","Ste 200","Austin, TX 78705",709,"W 22nd St",Ste,200,Austin,TX,"Travis County",78705,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000607,3000,3,484530006073000,48453000607,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1167 WEBBERVILLE RD Austin TX 78721",30.277462,-97.6857,1,rooftop,"1167 Webberville Rd",,"Austin, TX 78721",1167,"Webberville Rd",,,Austin,TX,"Travis County",78721,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002110,3002,3,484530021103002,48453002110,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12221 RIATA TRACE PKWY #180 Austin TX 78727",30.428777,-97.750686,1,rooftop,"12221 Riata Trace Pkwy","Ste 180","Austin, TX 78727",12221,"Riata Trace Pkwy",Ste,180,Austin,TX,"Travis County",78727,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,031600,1026,1,484530316001026,48453031600,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2107 BOCA RATON Austin TX 78747",30.139246,-97.795049,1,rooftop,"2107 Boca Raton Dr",,"Austin, TX 78747",2107,"Boca Raton Dr",,,Austin,TX,"Travis County",78747,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002446,1005,1,484530024461005,48453002446,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"408 W 15TH ST Austin TX 78701",30.278483,-97.743712,1,rooftop,"408 W 15th St",,"Austin, TX 78701",408,"W 15th St",,,Austin,TX,"Travis County",78701,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000700,1046,1,484530007001046,48453000700,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1811 EAST CESAR CHAVEZ ST. Austin TX 78702",30.257003,-97.72493,1,rooftop,"1811 E Cesar Chavez St",,"Austin, TX 78702",1811,"E Cesar Chavez St",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001000,2000,2,484530010002000,48453001000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5740 IH 35 NORTH Austin TX 78751",30.303677,-97.714423,0.7,street_center,"N I-35",,"Austin, TX 78751",,"N I-35",,,Austin,TX,"Travis County",78751,US,"TIGER/Line® dataset from the US Census Bureau",2024,48,48453,Austin,4805000,000304,1012,1,484530003041012,48453000304,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8900 N LAMAR BLVD Austin TX 78753",30.358293,-97.700391,1,rooftop,"8900 N Lamar Blvd",,"Austin, TX 78753",8900,"N Lamar Blvd",,,Austin,TX,"Travis County",78753,US,"City of Austin (Public Domain)",2024,48,48453,Austin,4805000,040600,3005,3,484530406003005,48453040600,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10900 HWY 290 W Austin TX 78737",30.222005,-97.956366,1,rooftop,"10900 W US-290",,"Austin, TX 78737",10900,"W US-290",,,Austin,TX,"Travis County",78737,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,,,036600,1024,1,484530366001024,48453036600,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Southwest Travis",93688,Z5,"A statistical county subdivision"
"4925 CRAIGWOOD DR Austin TX 78725",30.284116,-97.659518,1,rooftop,"4925 Craigwood Dr",,"Austin, TX 78725",4925,"Craigwood Dr",,,Austin,TX,"Travis County",78725,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002214,3006,3,484530022143006,48453002214,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7401 BURNET RD Austin TX 78757",30.349529,-97.734445,1,rooftop,"7401 Burnet Rd",,"Austin, TX 78757",7401,"Burnet Rd",,,Austin,TX,"Travis County",78757,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001504,4000,4,484530015044000,48453001504,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2030 E OLTORF #100 Austin TX 78741",30.230786,-97.732156,1,rooftop,"2030 E Oltorf St","Ste 100","Austin, TX 78741",2030,"E Oltorf St",Ste,100,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002315,2000,2,484530023152000,48453002315,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1219 ROSEWOOD AVE Austin TX 78702",30.268457,-97.725799,1,rooftop,"1219 Rosewood Ave",,"Austin, TX 78702",1219,"Rosewood Ave",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000804,2020,2,484530008042020,48453000804,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1700 W ANDERSON LN Austin TX 78757",30.352956,-97.723474,1,rooftop,"1700 W Anderson Ln",,"Austin, TX 78757",1700,"W Anderson Ln",,,Austin,TX,"Travis County",78757,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040500,3018,3,484530405003018,48453040500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2900 S. LAMAR BLVD Austin TX 78704",30.243679,-97.782863,1,rooftop,"2900 S Lamar Blvd",,"Austin, TX 78704",2900,"S Lamar Blvd",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001922,1000,1,484530019221000,48453001922,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2601 MANOR RD Austin TX 78722",30.284821,-97.715197,1,rooftop,"2601 Manor Rd",,"Austin, TX 78722",2601,"Manor Rd",,,Austin,TX,"Travis County",78722,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000402,2010,2,484530004022010,48453000402,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"11940 MANCHACA RD SUITE # 101 Austin TX 78748",30.145734,-97.833565,1,rooftop,"11940 Manchaca Rd","Ste 101","Austin, TX 78748",11940,"Manchaca Rd",Ste,101,Austin,TX,"Travis County",78748,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,,,033200,1000,1,484530332001000,48453033200,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"917 N LAMAR BLVD Austin TX 78703",30.274709,-97.752039,1,rooftop,"917 N Lamar Blvd",,"Austin, TX 78703",917,"N Lamar Blvd",,,Austin,TX,"Travis County",78703,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001200,2014,2,484530012002014,48453001200,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5301 MANOR RD Austin TX 78723",30.3,-97.685508,1,rooftop,"5301 Manor Rd",,"Austin, TX 78723",5301,"Manor Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002107,2009,2,484530021072009,48453002107,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"808 JUSTIN LANE Austin TX 78757",30.337165,-97.719948,1,rooftop,"808 Justin Ln",,"Austin, TX 78757",808,"Justin Ln",,,Austin,TX,"Travis County",78757,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001504,2001,2,484530015042001,48453001504,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2777 HIGHWAY 71 E Austin TX 78617",30.210202,-97.652687,1,range_interpolation,"2777 E State Highway 71",,"Del Valle, TX 78617",2777,"E State Highway 71",,,"Del Valle",TX,"Travis County",78617,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,002310,1002,1,484530023101002,48453002310,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1729 E. RIVERSIDE DR. STE. A Austin TX 78741",30.243231,-97.730384,1,rooftop,"1729 E Riverside Dr","Ste A","Austin, TX 78741",1729,"E Riverside Dr",Ste,A,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001403,2009,2,484530014032009,48453001403,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2110 W SLAUGHTER LN STE 108 Austin TX 78748",30.17543,-97.82565,1,rooftop,"2110 W Slaughter Ln","Ste 108","Austin, TX 78748",2110,"W Slaughter Ln",Ste,108,Austin,TX,"Travis County",78748,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,031800,4003,4,484530318004003,48453031800,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10050 US HWY 183 SOUTH STE A Austin TX 78747",30.101683,-97.694199,1,range_interpolation,"10050 S United States Highway 183","Ste A","Austin, TX 78747",10050,"S United States Highway 183",Ste,A,Austin,TX,"Travis County",78747,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,"Mustang Ridge",4850200,002436,1036,1,484530024361036,48453002436,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"525 W BEN WHITE BLVD Austin TX 78704",30.226013,-97.769637,1,range_interpolation,"525 W Ben White Blvd",,"Austin, TX 78704",525,"W Ben White Blvd",,,Austin,TX,"Travis County",78704,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,002003,2001,2,484530020032001,48453002003,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"9318 N IH 35 Austin TX 78753",30.777247,-97.625814,0.83,nearest_rooftop_match,"9321 N Interstate Highway 35",,"Jarrell, TX 76537",9321,"N Interstate Highway 35",,,Jarrell,TX,"Williamson County",76537,US,"City of Round Rock",2024,48,48491,Jarrell,4837396,021603,1010,1,484910216031010,48491021603,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Jarrell,91915,Z5,"A statistical county subdivision"
"6700 MANOR RD Austin TX 78723",30.310568,-97.667172,1,rooftop,"6700 Manor Rd",,"Austin, TX 78723",6700,"Manor Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002113,1015,1,484530021131015,48453002113,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"9200 BURNET RD Austin TX 78758",30.375899,-97.726133,1,rooftop,"9200 Burnet Rd",,"Austin, TX 78758",9200,"Burnet Rd",,,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,045400,3035,3,484530454003035,48453045400,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1220 BARTON HILLS DR Austin TX 78704",30.261869,-97.775111,1,rooftop,"1220 Barton Hills Dr",,"Austin, TX 78704",1220,"Barton Hills Dr",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001923,1000,1,484530019231000,48453001923,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1006 EAST YAGER LANE B-201 Austin TX 78753",30.391435,-97.659148,1,rooftop,"1006 E Yager Ln","Ste 201B","Austin, TX 78753",1006,"E Yager Ln",Ste,201B,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,044000,1005,1,484530440001005,48453044000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northeast Travis",92807,Z5,"A statistical county subdivision"
"3002 S CONGRESS AVE Austin TX 78704",30.232485,-97.758981,1,rooftop,"3002 S Congress Ave",,"Austin, TX 78704",3002,"S Congress Ave",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001308,3015,3,484530013083015,48453001308,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1015 REINLI ST Austin TX 78723",30.317911,-97.706423,1,rooftop,"1015 Reinli St",,"Austin, TX 78723",1015,"Reinli St",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002105,4010,4,484530021054010,48453002105,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"800 BRAZOS ST. STE. #200 Austin TX 78701",30.269973,-97.740841,1,rooftop,"800 Brazos St","Unit 200","Austin, TX 78701",800,"Brazos St",Unit,200,Austin,TX,"Travis County",78701,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001101,1016,1,484530011011016,48453001101,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1309 W 45TH Austin TX 78756",30.314981,-97.741442,1,rooftop,"1309 W 45th St",,"Austin, TX 78756",1309,"W 45th St",,,Austin,TX,"Travis County",78756,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000204,3000,3,484530002043000,48453000204,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8538 RESEARCH BLVD Austin TX 78758",30.417982,-97.746233,0.69,street_center,"Research Blvd",,"Austin, TX 78759",,"Research Blvd",,,Austin,TX,"Travis County",78759,US,"TIGER/Line® dataset from the US Census Bureau",2024,48,48453,Austin,4805000,032500,3001,3,484530325003001,48453032500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5210 MANOR RD Austin TX 78723",30.29982,-97.686459,1,rooftop,"5210 Manor Rd",,"Austin, TX 78723",5210,"Manor Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000308,1000,1,484530003081000,48453000308,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12518 RESEARCH BLVD. STE.H Austin TX 78759",30.429173,-97.760531,1,range_interpolation,"12518 Research Blvd","Ste H","Austin, TX 78759",12518,"Research Blvd",Ste,H,Austin,TX,"Travis County",78759,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,032700,2002,2,484530327002002,48453032700,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"1403 S LAMAR Austin TX 78704",30.25248,-97.762912,1,rooftop,"1403 S Lamar Blvd",,"Austin, TX 78704",1403,"S Lamar Blvd",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001310,3002,3,484530013103002,48453001310,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2911A  SOUTH FIRST Austin TX 78704",30.235779,-97.763426,1,rooftop,"2911 S 1st St",,"Austin, TX 78704",2911,"S 1st St",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001308,3009,3,484530013083009,48453001308,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8700 N LAMAR BLVD Austin TX 78753",30.35597,-97.702725,1,rooftop,"8700 N Lamar Blvd",,"Austin, TX 78753",8700,"N Lamar Blvd",,,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040100,2003,2,484530401002003,48453040100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"825 E RUNDBERG LN STE D Austin TX 78753",30.356446,-97.686853,1,rooftop,"825 E Rundberg Ln","Ste D","Austin, TX 78753",825,"E Rundberg Ln",Ste,D,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040300,4003,4,484530403004003,48453040300,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1701 BLUEBONNET LN Austin TX 78704",30.254697,-97.771992,1,rooftop,"1701 Bluebonnet Ln",,"Austin, TX 78704",1701,"Bluebonnet Ln",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001304,2006,2,484530013042006,48453001304,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1921 CEDAR BEND DRSTE #101 Austin TX 78758",30.408322,-97.698243,1,rooftop,"1921 Cedar Bend Dr","Ste A101","Austin, TX 78758",1921,"Cedar Bend Dr",Ste,A101,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,042200,1009,1,484530422001009,48453042200,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8422 SOUTH CONGRESS AVE Austin TX 78745",30.167477,-97.788403,1,range_interpolation,"8422 S Congress Ave",,"Austin, TX 78745",8422,"S Congress Ave",,,Austin,TX,"Travis County",78745,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,002422,2014,2,484530024222014,48453002422,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12915 DESSAU RD A1 Austin TX 78754",30.397477,-97.641644,1,rooftop,"12915 Dessau Rd",A1,"Austin, TX 78754",12915,"Dessau Rd",,A1,Austin,TX,"Travis County",78754,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,,,044900,2010,2,484530449002010,48453044900,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northeast Travis",92807,Z5,"A statistical county subdivision"
"11720 FM 1826 Austin TX 78737",30.192707,-97.92531,1,rooftop,"11720 Farm To Market Rd 1826",,"Austin, TX 78737",11720,"Farm To Market Rd 1826",,,Austin,TX,"Travis County",78737,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,,,031100,1026,1,484530311001026,48453031100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Southwest Travis",93688,Z5,"A statistical county subdivision"
"8400 BURNET RD Austin TX 78757",30.364993,-97.728971,1,rooftop,"8400 Burnet Rd",,"Austin, TX 78757",8400,"Burnet Rd",,,Austin,TX,"Travis County",78757,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040400,1003,1,484530404001003,48453040400,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2204 WOODLAND AVE Austin TX 78741",30.236105,-97.728094,1,rooftop,"2204 Woodland Ave",,"Austin, TX 78741",2204,"Woodland Ave",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002316,1002,1,484530023161002,48453002316,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1800 BURTON DR Austin TX 78741",30.235893,-97.728911,1,rooftop,"1800 Burton Dr",,"Austin, TX 78741",1800,"Burton Dr",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002315,1001,1,484530023151001,48453002315,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"3310 NORTHLAND DR Austin TX 78731",30.337302,-97.756299,1,rooftop,"3310 Northland Dr",,"Austin, TX 78731",3310,"Northland Dr",,,Austin,TX,"Travis County",78731,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,030600,3009,3,484530306003009,48453030600,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"3651 S IH 35 Austin TX 78741",30.552961,-97.691607,0.88,rooftop,"3651 N Interstate Highway 35",,"Round Rock, TX 78664",3651,"N Interstate Highway 35",,,"Round Rock",TX,"Williamson County",78664,US,"City of Round Rock",2024,48,48491,"Round Rock",4863500,021513,2002,2,484910215132002,48491021513,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Round Rock-Georgetown",93343,Z5,"A statistical county subdivision"
"9405 IH 35 NORTH Austin TX 78753",30.165164,-97.785705,0.99,range_interpolation,"9405 S I-35",,"Austin, TX 78744",9405,"S I-35",,,Austin,TX,"Travis County",78744,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,002451,2000,2,484530024512000,48453002451,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4511 AIRPORT BLVD. Austin TX 78751",30.303831,-97.71548,1,rooftop,"4511 Airport Blvd",,"Austin, TX 78751",4511,"Airport Blvd",,,Austin,TX,"Travis County",78751,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000304,1012,1,484530003041012,48453000304,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10401 JOLLYVILLE RD Austin TX 78759",30.397727,-97.74974,1,rooftop,"10401 Jollyville Rd",,"Austin, TX 78759",10401,"Jollyville Rd",,,Austin,TX,"Travis County",78759,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,030800,2005,2,484530308002005,48453030800,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"1747 E OLTORF ST Austin TX 78741",30.232072,-97.7374,1,rooftop,"1747 E Oltorf St",,"Austin, TX 78741",1747,"E Oltorf St",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002307,4001,4,484530023074001,48453002307,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5101 AIRPORT BLVD Austin TX 78751",30.312319,-97.714946,1,rooftop,"5101 Airport Blvd",,"Austin, TX 78751",5101,"Airport Blvd",,,Austin,TX,"Travis County",78751,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000304,1007,1,484530003041007,48453000304,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2001 EAST. RIVERSIDE DR Austin TX 78741",30.241322,-97.728372,1,rooftop,"2001 E Riverside Dr",,"Austin, TX 78741",2001,"E Riverside Dr",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002316,1001,1,484530023161001,48453002316,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"408 E RUNDBERG LN Austin TX 78753",30.359883,-97.690353,1,rooftop,"408 E Rundberg Ln",,"Austin, TX 78753",408,"E Rundberg Ln",,,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041000,2001,2,484530410002001,48453041000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1700 W PARMER LNSUITE 100 Austin TX 78727",30.412832,-97.688918,1,rooftop,"1700 W Parmer Ln","Ste 100","Austin, TX 78727",1700,"W Parmer Ln",Ste,100,Austin,TX,"Travis County",78727,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,042100,2001,2,484530421002001,48453042100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2605 EAST 7TH STREET Austin TX 78702",30.260517,-97.712573,1,rooftop,"2605 E 7th St",,"Austin, TX 78702",2605,"E 7th St",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000902,2004,2,484530009022004,48453000902,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1410 SOUTH 1ST STREET Austin TX 78704",30.250351,-97.754952,1,rooftop,"1410 S 1st St",,"Austin, TX 78704",1410,"S 1st St",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001312,3032,3,484530013123032,48453001312,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7310 E RIVERSIDE DR Austin TX 78741",30.220542,-97.69356,1,rooftop,"7310 E Riverside Dr",,"Austin, TX 78741",7310,"E Riverside Dr",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002320,1006,1,484530023201006,48453002320,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10901 N LAMAR BLVD BLDG G Austin TX 78753",30.378304,-97.687739,1,rooftop,"10901 N Lamar Blvd","Ste G","Austin, TX 78753",10901,"N Lamar Blvd",Ste,G,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041000,1001,1,484530410001001,48453041000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
